0,0,0
0,1,0
0,2,0
0,3,0
0,4,0.000001
0,5,0.000001
0,6,0.000001
0,7,0
0,8,0
0,9,0
0,10,0
1,0,0
1,1,0
1,2,0.000001
1,3,0.000014
1,4,0.000055
1,5,0.000088
1,6,0.000055
1,7,0.000014
1,8,0.000001
1,9,0
1,10,0
2,0,0
2,1,0.000001
2,2,0.000036
2,3,0.000362
2,4,0.001445
2,5,0.002289
2,6,0.001445
2,7,0.000362
2,8,0.000036
2,9,0.000001
2,10,0
3,0,0
3,1,0.000014
3,2,0.000362
3,3,0.003672
3,4,0.014648
3,5,0.023204
3,6,0.014648
3,7,0.003672
3,8,0.000362
3,9,0.000014
3,10,0
4,0,0.000001
4,1,0.000055
4,2,0.001445
4,3,0.014648
4,4,0.058433
4,5,0.092564
4,6,0.058433
4,7,0.014648
4,8,0.001445
4,9,0.000055
4,10,0.000001
5,0,0.000001
5,1,0.000088
5,2,0.002289
5,3,0.023204
5,4,0.092564
5,5,0.146632
5,6,0.092564
5,7,0.023204
5,8,0.002289
5,9,0.000088
5,10,0.000001
6,0,0.000001
6,1,0.000055
6,2,0.001445
6,3,0.014648
6,4,0.058433
6,5,0.092564
6,6,0.058433
6,7,0.014648
6,8,0.001445
6,9,0.000055
6,10,0.000001
7,0,0
7,1,0.000014
7,2,0.000362
7,3,0.003672
7,4,0.014648
7,5,0.023204
7,6,0.014648
7,7,0.003672
7,8,0.000362
7,9,0.000014
7,10,0
8,0,0
8,1,0.000001
8,2,0.000036
8,3,0.000362
8,4,0.001445
8,5,0.002289
8,6,0.001445
8,7,0.000362
8,8,0.000036
8,9,0.000001
8,10,0
9,0,0
9,1,0
9,2,0.000001
9,3,0.000014
9,4,0.000055
9,5,0.000088
9,6,0.000055
9,7,0.000014
9,8,0.000001
9,9,0
9,10,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0.000001
10,5,0.000001
10,6,0.000001
10,7,0
10,8,0
10,9,0
10,10,0
